Time,Emotion,Confidence
12:04:40 PM,sad,96.8
12:04:46 PM,sad,87.9
12:04:51 PM,sad,98.1
12:04:56 PM,sad,98.6
12:05:02 PM,sad,92.8
12:05:07 PM,sad,99.7
12:05:13 PM,sad,97.2
12:05:18 PM,sad,53.8
12:05:23 PM,sad,91.1
12:05:28 PM,sad,96.8
12:05:33 PM,sad,59.6
12:05:39 PM,sad,97.9
12:05:44 PM,sad,87.9
12:05:49 PM,sad,91.0
12:05:54 PM,sad,62.5
12:05:59 PM,sad,99.4
12:06:05 PM,sad,70.0
12:06:11 PM,sad,77.7
12:06:16 PM,sad,65.9
12:07:37 PM,,76.1
12:07:39 PM,sad,89.8
12:07:44 PM,sad,84.2
12:07:49 PM,sad,87.4
12:07:54 PM,sad,84.6
12:07:59 PM,sad,62.5
12:08:05 PM,sad,88.6
12:08:10 PM,sad,66.2
12:08:16 PM,sad,85.3
12:08:21 PM,sad,94.5
12:08:26 PM,sad,88.9
12:08:31 PM,sad,69.3
12:08:37 PM,sad,92.6
12:08:42 PM,sad,71.9
12:08:47 PM,sad,97.4
12:08:52 PM,sad,92.5
12:08:57 PM,sad,80.7
12:09:07 PM,sad,53.8
12:09:12 PM,sad,57.7
12:09:18 PM,sad,59.4
12:09:23 PM,sad,75.3
12:09:28 PM,sad,97.7
12:09:33 PM,sad,97.4
12:09:38 PM,sad,89.0
12:09:43 PM,sad,73.8
12:09:49 PM,sad,62.9
12:09:54 PM,sad,75.7
12:09:59 PM,sad,82.7
12:10:05 PM,sad,58.9
12:10:10 PM,sad,96.1
12:10:15 PM,sad,55.1
12:10:20 PM,sad,60.6
12:10:25 PM,sad,57.8
12:10:30 PM,sad,62.7
12:10:36 PM,sad,84.3
12:10:41 PM,sad,97.6
12:10:46 PM,sad,94.6
12:10:51 PM,sad,99.6
12:10:56 PM,sad,95.9
12:11:01 PM,sad,99.6
12:11:07 PM,sad,99.9
12:11:13 PM,sad,97.6
12:11:18 PM,sad,77.7
12:11:24 PM,sad,90.8
12:11:29 PM,sad,96.8
12:11:34 PM,sad,93.6
